Timestamp,"Put your score of lines cleared: 
For example, Lines 61
if failed type N/A",Prior VR Experience,Familiarity with Tetris ,Immersion ,Engagement,Focus,Cognitive use,Did you understand the controls?  ,"If you were to imagine playing this environment in a VR experience, would you do better or worse ? ",Did you feel that you gave this task your best? ,Are you more familiar to PC controls? ,"Open- End Feedback : If you have any background/questions for PC to VR experience, please elaborate  "
4/17/2025 10:17:36,5,Used VR 1-5 times,2,3,3,4,5,Kinda,Probably better,4,Sometimes,
4/17/2025 10:17:51,6,Used VR more than 5 times,3,4,4,5,4,Yes,Worse ,5,Always,VR cool stuff dude
4/17/2025 10:18:45,24,Used VR more than 5 times,3,4,5,5,5,Kinda,Worse if I did not understand the controls,4,Always,
4/17/2025 10:19:44,13,Used VR 1-5 times,4,3,2,4,5,Yes,"I'm not sure, probably better due to being able to react quicker",4,Always,
4/17/2025 10:19:53,25,Never used VR,4,5,3,5,5,Yes,"I have never used VR before, so learning the controls and adapting to the environment would most likely make me perform worse.",5,Always,
4/17/2025 10:20:03,19,Used VR more than 5 times,4,4,2,4,5,Yes,"Better, limit all external distractions",5,Always,
4/17/2025 10:20:04,8,Used VR 1-5 times,0,4,2,5,4,Yes,worse,4,Always,
4/17/2025 10:20:31,2,Used VR 1-5 times,0,3,2,4,5,Kinda,"I would probably be worse at first because I am unfamiliar with VR, but be more immersed after that so I would do better",4,Sometimes,"I've always used a controller more often, so VR would be much easier for me as long as I had that available."
4/17/2025 10:21:11,13,Used VR more than 5 times,5,3,3,5,5,Yes,Likely better,4,Sometimes,"From my experience going from playing a game like thumper not in VR to in VR is a very different experience, our brains can kind of trick our bodies about how they feel motion even when sitting still as long as the experience is immersive enough."
4/17/2025 10:21:45,43,Used VR more than 5 times,0,3,3,4,4,Kinda,"I would say better as I would be in the world of tetris, so i would have nothing else to focus on other than the game.",5,Sometimes,
4/17/2025 10:22:02,13,Used VR 1-5 times,4,2,2,2,3,Yes,unsure,4,Always,It was difficult to be immersed when the entire thing was lagging super hard the whole time.
4/17/2025 10:22:05,6,Used VR more than 5 times,2,4,2,4,4,Kinda,I think it would depend entirely on what the VR controls are like. If it was the same controls I don't think I would do any better. Since this is basically a 2d game I don't see how I could do better in VR. If it was 3d that would be different.,5,Sometimes,"I've never played tetris in VR but I have played a 3D puzzle type game in VR as well as outside of VR, and the VR environment was way more immersive and it was so much easier to use the VR controls to move around and beat the puzzle."
4/17/2025 10:22:15,6,Used VR 1-5 times,2,3,3,3,4,Kinda,I think I may do a little worse due to my inexperience with VR,4,No,
4/17/2025 10:23:28,26,Used VR more than 5 times,4,4,2,4,5,Kinda,Better,5,Kinda,VR better
4/17/2025 10:27:01,3,Used VR 1-5 times,2,2,2,2,2,Kinda,Worse,2,Sometimes,
